N:    10 missed percentage: 3.150 func no: 9, theta: 3.200000e-01
N:   100 missed percentage: 1.350 func no: 9, theta: 3.200000e-01
N:  1000 missed percentage: 1.100 func no: 9, theta: 3.200000e-01
N: 10000 missed percentage: 1.100 func no: 9, theta: 3.200000e-01
N: 20000 missed percentage: 0.650 func no: 9, theta: 3.200000e-01
N: 30000 missed percentage: 0.600 func no: 9, theta: 3.200000e-01
N:    10 missed percentage: 2.400 func no: 9, theta: 3.300000e-01
N:   100 missed percentage: 1.850 func no: 9, theta: 3.300000e-01
N:  1000 missed percentage: 1.050 func no: 9, theta: 3.300000e-01
N: 10000 missed percentage: 1.000 func no: 9, theta: 3.300000e-01
N: 20000 missed percentage: 0.700 func no: 9, theta: 3.300000e-01
N: 30000 missed percentage: 0.750 func no: 9, theta: 3.300000e-01
N:    10 missed percentage: 2.250 func no: 9, theta: 3.400000e-01
N:   100 missed percentage: 1.950 func no: 9, theta: 3.400000e-01
N:  1000 missed percentage: 1.350 func no: 9, theta: 3.400000e-01
N: 10000 missed percentage: 1.150 func no: 9, theta: 3.400000e-01
N: 20000 missed percentage: 1.150 func no: 9, theta: 3.400000e-01
N: 30000 missed percentage: 0.800 func no: 9, theta: 3.400000e-01
N:    10 missed percentage: 9.200 func no: 9, theta: 3.500000e-01
N:   100 missed percentage: 1.100 func no: 9, theta: 3.500000e-01
N:  1000 missed percentage: 1.100 func no: 9, theta: 3.500000e-01
N: 10000 missed percentage: 1.100 func no: 9, theta: 3.500000e-01
N: 20000 missed percentage: 0.850 func no: 9, theta: 3.500000e-01
N: 30000 missed percentage: 1.150 func no: 9, theta: 3.500000e-01
N:    10 missed percentage: 8.850 func no: 9, theta: 3.600000e-01
N:   100 missed percentage: 1.300 func no: 9, theta: 3.600000e-01
N:  1000 missed percentage: 0.750 func no: 9, theta: 3.600000e-01
N: 10000 missed percentage: 0.600 func no: 9, theta: 3.600000e-01
N: 20000 missed percentage: 1.050 func no: 9, theta: 3.600000e-01
N: 30000 missed percentage: 1.050 func no: 9, theta: 3.600000e-01
N:    10 missed percentage: 7.000 func no: 9, theta: 3.700000e-01
N:   100 missed percentage: 0.950 func no: 9, theta: 3.700000e-01
N:  1000 missed percentage: 0.950 func no: 9, theta: 3.700000e-01
N: 10000 missed percentage: 0.800 func no: 9, theta: 3.700000e-01
N: 20000 missed percentage: 1.100 func no: 9, theta: 3.700000e-01
N: 30000 missed percentage: 1.050 func no: 9, theta: 3.700000e-01
N:    10 missed percentage: 7.800 func no: 9, theta: 3.800000e-01
N:   100 missed percentage: 1.300 func no: 9, theta: 3.800000e-01
N:  1000 missed percentage: 0.750 func no: 9, theta: 3.800000e-01
N: 10000 missed percentage: 0.850 func no: 9, theta: 3.800000e-01
N: 20000 missed percentage: 1.200 func no: 9, theta: 3.800000e-01
N: 30000 missed percentage: 1.050 func no: 9, theta: 3.800000e-01
N:    10 missed percentage: 6.600 func no: 9, theta: 3.900000e-01
N:   100 missed percentage: 1.550 func no: 9, theta: 3.900000e-01
N:  1000 missed percentage: 0.850 func no: 9, theta: 3.900000e-01
N: 10000 missed percentage: 1.050 func no: 9, theta: 3.900000e-01
N: 20000 missed percentage: 0.950 func no: 9, theta: 3.900000e-01
N: 30000 missed percentage: 0.950 func no: 9, theta: 3.900000e-01
N:    10 missed percentage: 5.600 func no: 9, theta: 4.000000e-01
N:   100 missed percentage: 2.000 func no: 9, theta: 4.000000e-01
N:  1000 missed percentage: 1.350 func no: 9, theta: 4.000000e-01
N: 10000 missed percentage: 0.800 func no: 9, theta: 4.000000e-01
N: 20000 missed percentage: 1.000 func no: 9, theta: 4.000000e-01
N: 30000 missed percentage: 1.200 func no: 9, theta: 4.000000e-01
N:    10 missed percentage: 5.500 func no: 9, theta: 4.100000e-01
N:   100 missed percentage: 1.450 func no: 9, theta: 4.100000e-01
N:  1000 missed percentage: 1.350 func no: 9, theta: 4.100000e-01
N: 10000 missed percentage: 0.750 func no: 9, theta: 4.100000e-01
N: 20000 missed percentage: 1.100 func no: 9, theta: 4.100000e-01
N: 30000 missed percentage: 0.800 func no: 9, theta: 4.100000e-01
N:    10 missed percentage: 5.100 func no: 9, theta: 4.200000e-01
N:   100 missed percentage: 1.700 func no: 9, theta: 4.200000e-01
N:  1000 missed percentage: 1.050 func no: 9, theta: 4.200000e-01
N: 10000 missed percentage: 1.200 func no: 9, theta: 4.200000e-01
N: 20000 missed percentage: 0.950 func no: 9, theta: 4.200000e-01
N: 30000 missed percentage: 0.950 func no: 9, theta: 4.200000e-01
N:    10 missed percentage: 5.050 func no: 9, theta: 4.300000e-01
N:   100 missed percentage: 1.850 func no: 9, theta: 4.300000e-01
N:  1000 missed percentage: 0.950 func no: 9, theta: 4.300000e-01
N: 10000 missed percentage: 0.650 func no: 9, theta: 4.300000e-01
N: 20000 missed percentage: 1.100 func no: 9, theta: 4.300000e-01
N: 30000 missed percentage: 0.600 func no: 9, theta: 4.300000e-01
N:    10 missed percentage: 5.600 func no: 9, theta: 4.400000e-01
N:   100 missed percentage: 0.850 func no: 9, theta: 4.400000e-01
N:  1000 missed percentage: 1.300 func no: 9, theta: 4.400000e-01
N: 10000 missed percentage: 0.900 func no: 9, theta: 4.400000e-01
N: 20000 missed percentage: 1.200 func no: 9, theta: 4.400000e-01
N: 30000 missed percentage: 1.150 func no: 9, theta: 4.400000e-01
N:    10 missed percentage: 5.150 func no: 9, theta: 4.500000e-01
N:   100 missed percentage: 1.050 func no: 9, theta: 4.500000e-01
N:  1000 missed percentage: 1.400 func no: 9, theta: 4.500000e-01
N: 10000 missed percentage: 1.000 func no: 9, theta: 4.500000e-01
N: 20000 missed percentage: 1.050 func no: 9, theta: 4.500000e-01
N: 30000 missed percentage: 0.750 func no: 9, theta: 4.500000e-01
N:    10 missed percentage: 4.350 func no: 9, theta: 4.600000e-01
N:   100 missed percentage: 1.050 func no: 9, theta: 4.600000e-01
N:  1000 missed percentage: 1.200 func no: 9, theta: 4.600000e-01
N: 10000 missed percentage: 1.000 func no: 9, theta: 4.600000e-01
N: 20000 missed percentage: 0.700 func no: 9, theta: 4.600000e-01
N: 30000 missed percentage: 0.900 func no: 9, theta: 4.600000e-01
N:    10 missed percentage: 5.700 func no: 9, theta: 4.700000e-01
N:   100 missed percentage: 1.250 func no: 9, theta: 4.700000e-01
N:  1000 missed percentage: 1.100 func no: 9, theta: 4.700000e-01
N: 10000 missed percentage: 1.400 func no: 9, theta: 4.700000e-01
N: 20000 missed percentage: 1.100 func no: 9, theta: 4.700000e-01
N: 30000 missed percentage: 1.350 func no: 9, theta: 4.700000e-01
N:    10 missed percentage: 2.700 func no: 9, theta: 4.800000e-01
N:   100 missed percentage: 1.050 func no: 9, theta: 4.800000e-01
N:  1000 missed percentage: 1.650 func no: 9, theta: 4.800000e-01
N: 10000 missed percentage: 0.600 func no: 9, theta: 4.800000e-01
N: 20000 missed percentage: 1.150 func no: 9, theta: 4.800000e-01
N: 30000 missed percentage: 1.200 func no: 9, theta: 4.800000e-01
N:    10 missed percentage: 1.850 func no: 9, theta: 4.900000e-01
N:   100 missed percentage: 1.000 func no: 9, theta: 4.900000e-01
N:  1000 missed percentage: 0.750 func no: 9, theta: 4.900000e-01
N: 10000 missed percentage: 0.700 func no: 9, theta: 4.900000e-01
N: 20000 missed percentage: 1.000 func no: 9, theta: 4.900000e-01
N: 30000 missed percentage: 0.850 func no: 9, theta: 4.900000e-01
N:    10 missed percentage: 2.650 func no: 9, theta: 5.000000e-01
N:   100 missed percentage: 1.250 func no: 9, theta: 5.000000e-01
N:  1000 missed percentage: 0.700 func no: 9, theta: 5.000000e-01
N: 10000 missed percentage: 1.150 func no: 9, theta: 5.000000e-01
N: 20000 missed percentage: 1.200 func no: 9, theta: 5.000000e-01
N: 30000 missed percentage: 1.100 func no: 9, theta: 5.000000e-01
N:    10 missed percentage: 2.200 func no: 9, theta: 5.100000e-01
N:   100 missed percentage: 1.200 func no: 9, theta: 5.100000e-01
N:  1000 missed percentage: 1.100 func no: 9, theta: 5.100000e-01
N: 10000 missed percentage: 1.250 func no: 9, theta: 5.100000e-01
N: 20000 missed percentage: 0.800 func no: 9, theta: 5.100000e-01
N: 30000 missed percentage: 1.350 func no: 9, theta: 5.100000e-01
N:    10 missed percentage: 2.800 func no: 9, theta: 5.200000e-01
N:   100 missed percentage: 1.100 func no: 9, theta: 5.200000e-01
N:  1000 missed percentage: 1.050 func no: 9, theta: 5.200000e-01
N: 10000 missed percentage: 1.200 func no: 9, theta: 5.200000e-01
N: 20000 missed percentage: 0.550 func no: 9, theta: 5.200000e-01
N: 30000 missed percentage: 1.350 func no: 9, theta: 5.200000e-01
N:    10 missed percentage: 5.150 func no: 9, theta: 5.300000e-01
N:   100 missed percentage: 1.150 func no: 9, theta: 5.300000e-01
N:  1000 missed percentage: 0.950 func no: 9, theta: 5.300000e-01
N: 10000 missed percentage: 0.600 func no: 9, theta: 5.300000e-01
N: 20000 missed percentage: 1.000 func no: 9, theta: 5.300000e-01
N: 30000 missed percentage: 0.800 func no: 9, theta: 5.300000e-01
N:    10 missed percentage: 4.750 func no: 9, theta: 5.400000e-01
N:   100 missed percentage: 0.950 func no: 9, theta: 5.400000e-01
